singtel and capit,2.164022511633223e-13
sia,2.164022511633223e-13
taiwan,2.164022511633223e-13
south korea,2.164022511633223e-13
hahaha,7.299663017758136e-10
malaysia,7.299663017758136e-10
mahathir,1.032328244046687e-09
singaporean &,2.1895604768803634e-08
monkey,3.5427832720158566e-08
lee n,1.2113710005943935e-05
parliament,1.2113710005943935e-05
there.i,1.2113710005943935e-05
maid,1.2113710005943935e-05
IO,1.2113710005943935e-05
hahahaha,1.2113710005943935e-05
singaporean,0.1033127268668062
japan,0.17444666632916736
kiasu,0.2533609261566473
india,0.2533609261566473
pm lee,0.29014746053987955
china,0.4899227692112106
singapor,0.7115486306207757
