we love singapor,1.7553779497777374e-14
moh,1.7553779497777374e-14
healthcare work,1.7553779497777374e-14
dear,1.7553779497777374e-14
pm mr,1.7553779497777374e-14
the government of singapor,1.7553779497777374e-14
wfh,1.7553779497777374e-14
hbl,1.7553779497777374e-14
government please allow,1.7553779497777374e-14
start oper,1.7553779497777374e-14
pm lhl,1.7553779497777374e-14
singapore govern,1.7553779497777374e-14
pokémon,1.7553779497777374e-14
kim keat,1.7553779497777374e-14
CB,1.7553779497777374e-14
bangladeshi work,3.8913882275545614e-11
the medical team,3.8913882275545614e-11
bless,3.8913882275545614e-11
lee hsien loongy,3.8913882275545614e-11
singapore.y,3.8913882275545614e-11
melaka rakyat singapure.god,3.8913882275545614e-11
staying hom,3.8913882275545614e-11
govt,3.8913882275545614e-11
jss,3.8913882275545614e-11
terima,9.203235945330704e-09
perdana menteri singapura,9.203235945330704e-09
kami,9.203235945330704e-09
malaysia,9.203235945330704e-09
indonesian,0.003526711700369724
batam,0.003526711700369724
singapore pm,0.004663882374135529
pm lee minist,0.005368822733494224
team singapor,0.005368822733494224
pm lee i’m,0.008178774197757113
corona,0.009725826912116197
the doctors and nurses  ,0.012556528872451372
pm lee salut,0.012637213812962688
lki,0.014531503292547975
amin yarabbilalamin lee hsien loong,0.014677770073499026
mey,0.014677770073499026
the singapore govern,0.015328722037098631
sg unit,0.015328722037098631
who,0.016719273837236346
china,0.016719273837236346
bianca,0.0173412691853579
allegra,0.0173412691853579
sg hk,0.026204939913765688
PM,0.026861408550111335
lhl,0.028364607369534948
prime,0.028364607369534948
parliament,0.028364607369534948
pm lee - you,0.03208861630020798
alway,0.03208861630020798
fw too.tak,0.03964448366872909
macdonald,0.03964448366872909
mandrin,0.03964448366872909
asean,0.04018577931443109
truli,0.04089071967378979
&,0.04484966168854907
leader,0.04484966168854907
vitamin,0.04937031058084528
covid-19,0.05162836506295047
wsg,0.05162836506295047
VP,0.05162836506295047
heartfelt,0.05750938400509136
lee kuan yew,0.06800909103826402
bangladeshi,0.06952578672717041
mr lee,0.06952578672717041
switzerland &,0.06952578672717041
hon'bl,0.06952578672717041
citizen,0.06952578672717041
pale,0.06952578672717041
singaporean’,0.06952578672717041
sporean,0.06952578672717041
the circuit break,0.07047494221428705
a.antoni,0.0786537164120266
tamil,0.0786537164120266
majulah singapor,0.08216300054013309
inshaallah.pray,0.0825001917532055
SG,0.08380237317328873
singaporethank,0.08641684517322677
& frontlin,0.08641684517322677
now,0.09054060167460112
time,0.09054060167460112
singapore sunshin,0.09054060167460112
hong kong,0.09573072664093608
minnesota,0.09789039409670536
rip mr hau,0.09789039409670536
macau,0.09845561138987226
front lin,0.1068923338278736
essenti,0.1068923338278736
god,0.1068923338278736
salut,0.10819799750284731
sgunit,0.10889216064536192
myanmar,0.1091702703958995
new zealand,0.11074233271221702
been,0.11074233271221702
muslim,0.1117982185802136
india pm modi',0.12370177368844748
india,0.12521285572178134
zermatt,0.12541432135243982
taiwan,0.1273477637586489
lee hsien loong,0.1320820411077362
swiss,0.13996920631768825
lee,0.14059909573945023
bangladesh,0.1455450506785243
switzerland,0.15393508089089009
singaporean,0.24440948400450926
pm lee,0.34159765301192213
singapor,0.5990885745651133
